1;;q1;;Has anyone reported a problem about noise?;;urn:uuid:44109bdb-525f-4a12-a8da-923fd582af00;;Just not worth the money, overall the facilities are outdated and shabby. Booked a massage in room, which had nothing to do with relaxation at all - Typical Japanese hotel;;27/04/2017;;0
2;;q1;;Has anyone reported a problem about noise?;;urn:uuid:7b4d6933-c2ca-44f5-a1c7-cd114c6ed34b;;Breakfast is very poor considering such level hotel. Swimming pool needs extra charge and expensive. Many hotel provide free swimming pool and Gym room for guest. - Location, Room size;;23/08/2017;;0
3;;q1;;Has anyone reported a problem about noise?;;urn:uuid:cd88ff86-1e62-47cb-b08f-3bf995efbc6b;;Very hot & noisy. People checking in all through the night & not really having any consideration for other guests. Small lobby area - nowhere to eat/drink or meet up with partner. Air con was at 25°C overnight. - Bed very comfortable. All amenities clean & tidy. Pyjamas, toothbrush, towels etc all provided. Good showers. Bathroom very modern.;;01/01/2018;;1
4;;q1;;Has anyone reported a problem about noise?;;urn:uuid:8bca90da-32c4-4eea-8567-e3f004a4362a;;The chairs and sofa in the reception area are too deep (in my opinion), so not the most comfortable to sit on. - My husband and I stayed for three weeks at the b Kobe. The hotel was very convenient for the railway station, numerous shops, restaurants and a five/ten minute walk to the City Loop sightseeing bus, which is a great way to get to various attractions in Kobe and see the city. The staff at the hotel were very helpful and friendly, as well as smartly dressed. Our room was on the 8th floor and looked out onto a side road, but we did not have any problems sleeping because of road noise. The room was kept immaculately clean and apple tea and green tea bags provided daily, plus coffee available for free in the reception area. We could use the air conditioning, which had concerned us with other reviews. We cannot comment on the breakfast facilities available in the next door restaurant, as we did not use them. We would definitely stay at the b Kobe again.;;28/05/2017;;1
5;;q1;;Has anyone reported a problem about noise?;;urn:uuid:76f8083d-1ffb-47b1-a50c-8c2df4e53703;;Noise due to the lift - Location and people;;04/02/2018;;1
6;;q1;;Has anyone reported a problem about noise?;;urn:uuid:30159d33-7adb-4d62-b50e-495e89e4cd29;;Sometimes difficult to communicate with the staff since they didn't speak too much english but that was expected. Better english than other places I've stayed at on this trip. - SO AMAZING! This property is pricey to stay at but was absolutely worth all the money. Comes with a private kaiseki dinner (which is quite expensive regardless of whether you stay at a ryokan) and an incredible breakfast buffet. Plus, the amenities were beautiful, the onsen was GORGEOUS and the room was more than comfortable. We were a party of three and I stayed on the pull out sofa bed but wow that was the most comfortable sofa bed I've slept in. Definitely would recommend and looking forward to staying again!;;04/12/2017;;0
7;;q1;;Has anyone reported a problem about noise?;;urn:uuid:2fad97a8-f5dd-4dab-b95f-ea3b70d4043d;;Price is a little steep for the condition of the room. Room is small. - Its very near Kobe Sannomiya Station and amenities.;;26/05/2016;;0
8;;q1;;Has anyone reported a problem about noise?;;urn:uuid:4f46483c-6567-4cd1-8ae5-9492688d6f33;;They didn't provide an iron when requested, citing the fire hazard. - The staff were responsive and the room was bigger than most Japanese hotel rooms in this price range.;;01/11/2013;;0
9;;q1;;Has anyone reported a problem about noise?;;urn:uuid:bc88f61d-6ab2-4e9f-a465-af8142b489c7;;The room was tiny, really small given the price we paid. The bed was also very small for 2 people. The 'kettle' was a stove, kind of dangerous when you have stuff lying about next to a hot top. There were random noises at night. The drier in the laundry took hours. Breakfast was packed full of people, feeding time at the zoo, bad layout. - There were croissants at breakfast. They had free coffee (coffee machine) and soft drinks. The water in shower was hot.;;04/04/2016;;1
10;;q1;;Has anyone reported a problem about noise?;;urn:uuid:cceced88-342c-4de1-b7f8-76bb318948fd;;No - Clean and nice room;;26/07/2016;;0
11;;q1;;Has anyone reported a problem about noise?;;urn:uuid:14f19bd7-9605-4c37-9c30-9db2ea8564cb;;Noisy at night, our rooms were closer to the onsen machinery that works all night. The floor vibrates with the noise from the machinery, bearable but not the expected tranquility. - Best Onsen Excellent Dinner (kinda expensive) Very nice rooms and building;;07/05/2017;;1
12;;q1;;Has anyone reported a problem about noise?;;urn:uuid:ac4c7f48-f36b-4f07-afd8-d2b8c34dac45;;If you are too sensitive to noise, you might hear the train. But not a problem to me. - Love the location, very convenient for traveller;;31/12/2017;;1
13;;q1;;Has anyone reported a problem about noise?;;urn:uuid:e8226154-d854-45ff-a682-48188486752d;;The room is small with a small bed for 2 but it's normal. - The quiet environment around the hotel with great view to the sport field.;;16/02/2016;;1
14;;q1;;Has anyone reported a problem about noise?;;urn:uuid:0a352ca7-4da4-4dd2-b59a-3118c441a27a;;Not able to control heating/aircon for the room, and the window did not open. The staff indicated that the building air conditioner was off for the winter. The room was hot. - Complimentary coffee available in the lobby. Helpful staff. Comfortable, bright room with modern furnishings. The location is excellent; just steps from a portal of the Sannomiya subway station, which is one stop from ShinKobe Shinkansen stn. Adjacent to Ikuta Road for shopping and eating. Also close to Tor Road and Sannomiya Train stn. where the city loop bus stops. There are many, many places to eat and drink nearby.;;04/02/2017;;0
15;;q1;;Has anyone reported a problem about noise?;;urn:uuid:04af0f76-5504-466e-99fa-c7e12e826ad2;;Noise. Air conditioning made the sound of distant pneumatic drill and could hear the trains every few minutes from open central courtyard. Bad night sleep. - Modern hotel in central location. Easy to get around with good supermarket a minute away and many places to eat. Modern room. Not best but very acceptable breakfast.;;16/10/2017;;1
16;;q1;;Has anyone reported a problem about noise?;;urn:uuid:b36800a6-1d6b-4f4f-aebc-93383f2c4f55;;- Far from Sannomiya down town - Tied facility - Tiny - - Near to Shin-Kobe station - Quiet area - Convenience store nearby;;09/12/2016;;1
17;;q1;;Has anyone reported a problem about noise?;;urn:uuid:3fea2e3d-e669-4d5e-8d8b-e3299bd6e16d;;The hotel is a bit pricey for being quite a distance from the "action" of Kobe (ironically, there's not much in "shin" (new) Kobe). Also, the hotel is very expensive, as are the restaurant and bar downstairs ($14 for a small beer!). I think I've complained about this before, but they really should include breakfast with your room. Also, for some reason the air conditioner wasn't turned on, so my room was warm and stuffy. - I've stayed at this hotel several times because it is next to my conference venue. The building and hotel are very modern, with several restaurants within grounds.;;31/05/2017;;0
18;;q1;;Has anyone reported a problem about noise?;;urn:uuid:0d7490cb-bb3c-433b-843c-a42c0691b5da;;Toilets or showers in the room would have been nice but the higher-rate rooms have those so it's not really a problem Check-in was quite late (3pm). Not a problem for us when we stayed but might be a problem for others - Very chill location. The staff was very accommodating, letting us leave our bags in lockers before checking in. You even get a free beer or coffee in the hostel's bar/cafe! The room we stayed in was a large bunk bed-filled room with good air conditioning. Chargers seem to be on every bed available. The showers and bathrooms are on the ground floor which is pretty standard. No problems there. Definitely recommended for a cheap stay in Kobe;;02/09/2017;;1
19;;q1;;Has anyone reported a problem about noise?;;urn:uuid:74a48292-be9b-484f-8d28-eb8ad9cfc119;;Some noise cannot be avoided. But it is acceptable. - More clean than what I thought;;13/04/2017;;1
20;;q1;;Has anyone reported a problem about noise?;;urn:uuid:098c8354-2b7f-4d55-a13c-2f499a3f8fbd;;Just a little noises - Nice place and the service was kind.;;03/05/2016;;1
21;;q1;;Has anyone reported a problem about noise?;;urn:uuid:18328536-3116-4231-a526-611b79e42050;;Charge on car parking a bit high for hotel guest - Location;;31/10/2017;;0
22;;q1;;Has anyone reported a problem about noise?;;urn:uuid:095927ae-bfef-4b32-b9a3-15afa1a128fd;;nothing!!! - close to everything.. shops, restaurants, 7 eleven, train station. staff was very nice, breakfast classy and very tasty and fresh. room is big, nice lobby decoration, good security! good price in compare to Osaka and its easy to reach by train who goes often. airport express bus around the corner! will stay there again!!!;;21/04/2016;;0
